Latitude,Longitude,Litologi,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,b_11,b_12,b_13,b_14,b_15,b_16,b_17,b_18,b_19,b_20,b_21,b_22,b_23,b_24
-7.026635,108.573503,Sandstone,0.037384376,0.060633332,0.036880001,0.095473684,0.267650008,0.329600006,0.326099992,0.349833339,0.170124993,0.0828375,-0.32324487,-0.689946115,0.32324487,0.550816357,4.466421127,-7.340549946,-14.02536297,0.523376822,135.972168,1.641151428,89.97485352,1.000410914,0.51293093,-0.487479985
-7.026025,108.572279,Sandstone,0.034205999,0.058039475,0.043313727,0.097269997,0.24699375,0.29519999,0.302545458,0.314955562,0.156161532,0.076020002,-0.329286873,-0.655661464,0.329286873,0.498491079,3.810042381,-6.910833836,-13.65861797,0.50596875,135.9760284,13.32014751,3.937936068,1.0359689,0.62224853,-0.413720369
-7.029177,108.579972,Sandstone,0.0337,0.057999998,0.035675,0.091150001,0.259166658,0.325899988,0.348333329,0.356333345,0.187983334,0.093487501,-0.297457784,-0.712991953,0.297457784,0.583730459,4.9690485,-7.101741791,-13.03410816,0.544858277,123.1828079,0.972789884,103.2213669,1.000144482,0.542831182,-0.457313299
-7.068432,108.558402,Sandstone_karbonatan,0.083700001,0.103088886,0.099940002,0.126985714,0.193360001,0.220816672,0.235663638,0.231757149,0.201433331,0.145425007,-0.091102779,-0.386209995,0.091102779,0.277313292,1.259915829,-7.033158779,-15.29913044,0.459709704,187.5901031,3.926659584,155.3966675,1.00254333,0.374709666,-0.627833664
-7.059735,108.559985,Sandstone_karbonatan,0.042262856,0.060199998,0.049233332,0.103816666,0.184442863,0.216600001,0.21535714,0.230631426,0.174924999,0.099200003,-0.112239406,-0.552246511,0.112239406,0.339695185,2.478481054,-12.12493324,-17.7921524,0.681476474,187.4679565,20.34020996,309.2585144,1.066565752,0.481468379,-0.585097313
-7.06208,108.55721,Sandstone_karbonatan,0.050568294,0.072131582,0.056344446,0.10712,0.236711115,0.283324987,0.296149999,0.309972733,0.205644444,0.107009999,-0.186352596,-0.596261263,0.186352596,0.456364214,2.941245317,-5.147216797,-11.95226765,0.430647731,188.7447662,9.115605354,164.695694,1.013946056,0.361017853,-0.652928233
-7.065882,108.557218,Siltstone,0.04087,0.064518519,0.040905263,0.099306248,0.295179993,0.369366676,0.396600008,0.404283345,0.220658332,0.103389189,-0.283352047,-0.714331865,0.283352047,0.649566174,4.522502422,-4.823359489,-11.4655056,0.420684427,198.5792999,8.371019363,271.2000122,1.010902405,0.44952485,-0.561377645
-7.055252,108.560343,Sandstone_karbonatan,0.066364102,0.090028569,0.084090002,0.110983334,0.170007691,0.197153851,0.2016875,0.209000006,0.169620007,0.09985625,-0.096010372,-0.369318664,0.096010372,0.26111716,1.171150088,-9.193377495,-15.75667953,0.58345902,156.9064941,6.777721405,308.4759521,1.007795095,0.354826033,-0.652969062
-7.050241,108.563571,Siltstone_karbonatan,0.041217647,0.068561107,0.048475001,0.110892311,0.257428348,0.306341678,0.318028569,0.333505541,0.2197375,0.115091667,-0.189127058,-0.645866454,0.189127058,0.528742135,3.64759326,-5.575531483,-11.92116451,0.467700213,158.9098663,15.06951141,86.80485535,1.035645008,0.493364662,-0.542280316
-7.049149,108.563064,Siltstone_karbonatan,0.042709999,0.060718749,0.049150001,0.095854543,0.197233334,0.232419997,0.224642858,0.256245464,0.201140001,0.11195714,-0.076517768,-0.565044641,0.076517768,0.357709527,2.607604265,-5.376475334,-12.18239784,0.441331476,166.3266296,17.8051796,68.98823547,1.050346136,0.480049431,-0.570296705
